NLI          DI           LI           NLO          DO           LO           DIO          S            NLE          MF           FVI         
6            14           20           7            34           25           17.5         8.4226       0.4824       1.8479       8.8649      
8            18           25           8            25           30           17           35.6819      0.3128       2.8911       7.5458      
8            18           25           9            26           30           17           38.7631      0.3329       3.1527       7.6566      
8            18           25           9            25           30           17           39.8383      0.3382       3.2334       7.5746      
8            18           19           9            25           20           20           21.4029      0.0349       2.5258       10.1829     
8            18           22           9            25           19           20           23.9999      0.2924       2.4315       10.1046     
8            18           19           9            25           21           20           22.7088      0.1591       2.6148       9.8275      
8            18           18           9            25           22           20           22.6268      0.1579       2.6972       9.5135      
8            18           18           8            28           20           20           17.0081      0.0134       2.0779       9.4287      
8            18           18           9            26           22           20           22.1499      0.1495       2.6256       9.3322      
8            18           19           9            25           22           20           23.9849      0.2561       2.7          9.6115      
