(lvdt) PS C:\Users\pengb\Documents\Python\LVDT_simulation\optimization\test> python -m test
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |       50 |      8 |  0.000000E+00 |  8.000203E+04 |             - |             -
     2 |      100 |     18 |  0.000000E+00 |  1.6400000000 |  0.2010105519 |         ideal
     3 |      150 |     23 |  0.000000E+00 |  0.000000E+00 |  0.3198621134 |         ideal
     4 |      200 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0836202780 |         nadir
     5 |      250 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0970432654 |         ideal
     6 |      300 |     50 |  0.000000E+00 |  0.000000E+00 |  0.1118139709 |         ideal
     7 |      350 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0255880919 |         ideal
     8 |      400 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0359728433 |         ideal
     9 |      450 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0032674827 |         ideal
    10 |      500 |     50 |  0.000000E+00 |  0.000000E+00 |  0.1542064997 |         ideal
    11 |      550 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0088179733 |         ideal
    12 |      600 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0064751457 |         ideal
    13 |      650 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0362826416 |         ideal
    14 |      700 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0179755572 |             f
    15 |      750 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0200768072 |         nadir
    16 |      800 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0313540920 |             f
    17 |      850 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0266955084 |             f
    18 |      900 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0259985637 |         nadir
    19 |      950 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0311401463 |             f
    20 |     1000 |     50 |  0.000000E+00 |  0.000000E+00 |  0.1365493784 |         ideal
    21 |     1050 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0288019730 |         nadir
